iter	Passed	Remaining
796	4972	1266
797	4989	1263
798	4999	1257
799	5004	1251
800	5010	1244
801	5012	1237
802	5016	1230
803	5017	1223
804	5019	1215
805	5020	1208
806	5132	1227
807	5170	1228
808	5176	1222
809	5182	1215
810	5195	1210
811	5195	1202
812	5196	1195
813	5197	1187
814	5198	1179
815	5198	1172
816	5199	1164
817	5200	1157
818	5202	1149
819	5298	1163
820	5300	1155
821	5301	1147
822	5302	1140
823	5303	1132
824	5321	1128
825	5333	1123
826	5345	1118
827	5346	1110
828	5346	1102
829	5349	1095
830	5383	1094
831	5431	1096
832	5434	1089
833	5435	1081
834	5441	1075
835	5535	1085
836	5536	1078
837	5538	1070
838	5557	1066
839	5564	1059
840	5566	1052
841	5568	1044
842	5570	1037
843	5572	1030
844	5575	1022
845	5578	1015
846	5579	1007
847	5582	1000
848	5583	993
849	5585	985
850	5586	978
851	5588	970
852	5703	982
853	5705	975
854	5706	967
855	5708	960
856	5709	952
857	5711	945
858	5712	937
859	5717	930
860	5719	923
861	5720	915
862	5722	908
863	5723	900
864	5725	893
865	5726	886
866	5728	878
867	5729	871
868	5731	863
869	5732	856
870	5733	849
871	5749	843
872	5768	839
873	5778	833
874	5807	829
875	5826	824
876	5828	817
877	5830	810
878	5832	802
879	5833	795
880	5835	788
881	5836	780
882	5838	773
883	5841	766
884	5843	759
885	5845	752
886	5846	744
887	5848	737
888	5850	730
889	5852	723
890	5853	716
891	5856	709
892	5858	701
893	5859	694
894	5861	687
895	5863	680
896	5865	673
897	5866	666
898	5867	659
899	5868	652
900	5870	645
901	5872	637
902	5873	630
903	5875	623
904	5877	616
905	5879	609
906	5880	602
907	5881	595
908	5882	588
909	5883	581
910	5884	574
911	5885	567
912	5887	561
913	5890	554
914	5891	547
915	5893	540
916	5895	533
917	5897	526
918	5898	519
919	5899	513
920	5901	506
921	5903	499
922	5904	492
923	5906	485
924	5907	478
925	5908	472
926	5909	465
927	5910	458
928	5912	451
929	5913	445
930	5916	438
931	5917	431
932	5919	425
933	5920	418
934	5921	411
935	5923	405
936	5924	398
937	5926	391
938	5927	385
939	5928	378
940	5944	372
941	5961	367
942	5983	361
943	5985	355
944	5988	348
945	5990	341
946	5992	335
947	5993	328
948	5995	322
949	5997	315
950	5999	309
951	6000	302
952	6002	296
953	6004	289
954	6005	282
955	6007	276
956	6009	270
957	6012	263
958	6014	257
959	6016	250
960	6017	244
961	6018	237
962	6020	231
963	6022	224
964	6023	218
965	6025	212
966	6026	205
967	6028	199
968	6029	192
969	6031	186
970	6034	180
971	6035	173
972	6036	167
973	6043	161
974	6044	154
975	6046	148
976	6050	142
977	6052	136
978	6055	129
979	6055	123
980	6056	117
981	6058	111
982	6060	104
983	6063	98
984	6065	92
985	6067	86
986	6068	79
987	6069	73
988	6071	67
989	6072	61
990	6074	55
991	6075	48
992	6076	42
993	6078	36
994	6079	30
995	6080	24
996	6082	18
997	6085	12
998	6099	6
999	6107	0
